Index,Track Name,Artist Name,Album Name,Track Duration (ms),Play Count
70,Lakes,Greta Stanley,Bedroom City,222813,261
71,I Met You,"Anna Lunoe, Flume",Anna Lunoe & Friends EP,269606,315
72,Everything Is Shit Except My Friendship With You,Ball Park Music,Puddinghead,193440,226
73,Delete,DMA'S,DMA'S,271061,317
74,Ali D,Winston Surfshirt,Ali D,212197,248
75,Sober,Childish Gambino,Kauai EP,252013,295
76,Jungle,Tash Sultana,Jungle,315602,369
77,Land Of Pleasure,Sticky Fingers,Land Of Pleasure,181410,212
78,Liquorlip Loaded Gun,Sticky Fingers,Land Of Pleasure,309348,362
79,Gold Snafu,Sticky Fingers,Land Of Pleasure,218902,256
80,Rum Rage,Sticky Fingers,Land Of Pleasure,252299,295
81,Australia Street,Sticky Fingers,Caress Your Soul,219026,256
82,Caress Your Soul,Sticky Fingers,Caress Your Soul,177306,207
83,Bootleg Rascal,Sticky Fingers,Caress Your Soul,227320,266
84,How To Fly,Sticky Fingers,Caress Your Soul,202186,237
85,Clouds & Cream,Sticky Fingers,Caress Your Soul,174346,204
86,These Girls,Sticky Fingers,Caress Your Soul,205786,241
87,Happy Endings,Sticky Fingers,Happy Endings,176240,206
88,Our Town,Sticky Fingers,Westway (The Glitter & The Slums),195414,229
89,Off White Limousine,Client Liaison,Diplomatic Immunity,275543,322
90,Ocean Drive,Duke Dumont,Ocean Drive,206320,241
91,Never Be Like You,"Flume, kai",Skin,233337,273
92,Crave You,"Flight Facilities, Giselle",Down to Earth,234776,275
93,Cocoon,Milky Chance,Cocoon,254000,297
94,Stolen Dance,Milky Chance,Sadnecessary,313684,367
95,Elephant,Tame Impala,Lonerism,211226,247
96,The Less I Know The Better,Tame Impala,Currents,216320,253
97,Let It Happen,Tame Impala,Currents,467586,547
98,Don't U Want Me (feat. Blair De Milo),"Young Franco, Blair De Milo",Don't U Want Me (feat. Blair De Milo),207857,243
99,Embracing Me,SAFIA,Embracing Me,231041,270
100,"Listen to Soul, Listen to Blues",SAFIA,"Listen to Soul, Listen to Blues",231207,271
101,Make Them Wheels Roll,SAFIA,Internal,245666,287
102,Little Lion Man,Mumford & Sons,Sigh No More,247000,289
103,I Will Wait,Mumford & Sons,Babel (Deluxe Version),276720,324
104,Gold,Chet Faker,Built On Glass,285255,334
105,Talk Is Cheap,Chet Faker,Built On Glass,218553,256
106,1998 (feat. Banks),"Chet Faker, BANKS",1998 (feat. Banks),224026,262
107,Gooey,Glass Animals,ZABA,289306,338
108,Life Itself,Glass Animals,How To Be A Human Being,281406,329
109,Youth,Glass Animals,How To Be A Human Being,230693,270
110,The Other Side Of Paradise,Glass Animals,How To Be A Human Being,320654,375
111,Agnes - Radio Edit,Glass Animals,Agnes (Radio Edit),215142,252
112,Love Lockdown,Glass Animals,Pools,161893,189
113,Black Mambo,Glass Animals,ZABA,248920,291
114,Pools,Glass Animals,ZABA,288733,338
115,I Hate U I Love U (feat. Olivia O'Brien),"gnash, Olivia O'Brien",I Hate U I Love U (feat. Olivia O'Brien),226956,266
116,Miss You,James Hersey,Miss You,206099,241
117,Grandma's Hands,Meg Mac,MEGMAC,243071,284
118,Sunset Lover,Petit Biscuit,Sunset Lover,237792,278
119,Fake Magic,"Peking Duk, AlunaGeorge",Fake Magic,167058,195
120,Take Me Over,"Peking Duk, SAFIA",Take Me Over,208121,244
121,Stranger (feat. Elliphant),"Peking Duk, Elliphant",Stranger (feat. Elliphant),206393,241
122,High - Original Mix,"Peking Duk, Nicole Millar",High,228000,267
123,Too Much Time Together,San Cisco,Gracetown,169996,199
124,Awkward,San Cisco,Awkward,155640,182
125,Fred Astaire,San Cisco,San Cisco,175986,206
126,Golden Revolver,San Cisco,Golden Revolver,176840,207
127,Mykonos,Fleet Foxes,Sun Giant,275306,322
128,Naive,The Kooks,Inside In / Inside Out,203506,238
129,Glitches,Jax Anderson,Small Victories,255807,299
130,Talk,"DJ Snake, George Maple",Encore,237960,278
131,Your Time - Prod. Kaytranada,"Nick Murphy, KAYTRANADA",Missing Link EP,244080,286
132,Tokyo - Vampires & Wolves,The Wombats,The Wombats proudly present... This Modern Glitch,225526,264
133,Let's Dance to Joy Division,The Wombats,"Proudly Present... A Guide to Love, Loss & Desperation",191293,224
134,Dynamite (feat. Allday),"Asta, Allday",Dynamite (feat. Allday),237491,278
135,Arty Boy,"Flight Facilities, Emma Louise",Arty Boy,232188,272
136,Say My Name,"ODESZA, Zyra",In Return,262956,308
137,Say My Name - Hayden James Remix,"ODESZA, Zyra",Say My Name Remixes,268475,314
138,Send Nudes,Allday,Send Nudes,209344,245
139,She's a Riot,The Jungle Giants,Learn to Exist,221493,259
140,Don't Leave,"Snakehips, MØ",Don't Leave,214693,251
141,All My Friends (feat. Tinashe & Chance the Rapper),"Snakehips, Tinashe, Chance the Rapper",All My Friends (feat. Tinashe & Chance the Rapper),229746,269
142,Cruel (feat. ZAYN),"Snakehips, ZAYN",Cruel (feat. ZAYN),228253,267
143,Money On Me (feat. Anderson .Paak),"Snakehips, Anderson .Paak",All My Friends - EP,173706,203
144,Murder to the Mind,Tash Sultana,Murder to the Mind,258003,302
145,Deleted,Amy Shark,Night Thinker - EP,206220,241
146,Indian Summer,Jai Wolf,Indian Summer,248470,291
147,Brother,Matt Corby,Into The Flame,254213,297
148,I Pay My Tax (I Hate Myself) (feat. Janet English),"The Meeting Tree, Janet English",I Pay My Tax (I Hate Myself) (feat. Janet English),207719,243
149,Rude,MAGIC!,Don't Kill the Magic,224840,263
150,Love$ick,"Mura Masa, A$AP Rocky",Love$ick,192154,225
151,Georgia,Vance Joy,Dream Your Life Away,230506,270
152,Riptide,Vance Joy,Dream Your Life Away,201733,236
153,Coming Over (feat. James Hersey),"Dillon Francis, Kygo, James Hersey",This Mixtape is Fire.,178333,209
154,What If I Go? - Single Version,"Mura Masa, Bonzai",What If I Go?,200550,235
155,Banana Pancakes,Jack Johnson,In Between Dreams,191906,225
156,Dog Days Are Over,Florence + The Machine,Between Two Lungs,252818,296
157,Little Talks,Of Monsters and Men,My Head Is An Animal,266600,312
158,Magnets,"Disclosure, Lorde",Caracal (Deluxe),199245,233
159,Latch,"Disclosure, Sam Smith",Settle (Deluxe Version),255631,299
160,Girl in the Sun,"Allday, Brady James",Loners Are Cool,163413,191
161,Passionfruit,Drake,More Life,298940,350
162,Take Care,"Drake, Rihanna",Take Care (Deluxe),277386,325
163,Shooting Stars,Bag Raiders,Bag Raiders (Deluxe),235813,276
164,Fantasy,"Alina Baraz, Galimatias",Urban Flora EP,218947,256
165,Tongue Tied,Grouplove,Never Trust a Happy Song,218013,255
166,Budapest,George Ezra,Wanted on Voyage,200720,235
167,It's Nice To Be Alive,Ball Park Music,Happiness And Surrounding Suburbs,208893,244
168,Alaska,Maggie Rogers,Now That The Light Is Fading,189400,222
169,I Love My Friends,Foster The People,Sacred Hearts Club,225426,264
170,California,Childish Gambino,Awaken,7,0
171,She Only Loves Me When I'm There,Ball Park Music,Puddinghead,225800,264
172,World Of Our Love,Client Liaison,Diplomatic Immunity,270688,317
173,"Together, Locked Safely",SAFIA,Internal,251486,294
174,My Love Is Gone,SAFIA,Internal,257353,301
175,Counting Sheep,SAFIA,Counting Sheep,173081,203
176,Fire,"Louis The Child, Evalyn",Fire,205617,241
177,Sylvester Stallone,Angus & Julia Stone,Snow,202600,237
178,Feel It Still,Portugal. The Man,Woodstock,163253,191
179,We Are The People,Empire of the Sun,Walking On A Dream (Special Edition),267354,313
180,Lay Down,Touch Sensitive,Visions,254694,298
181,Exactly How You Are,Ball Park Music,Exactly How You Are,216825,254
182,Keeping Your Head Up,Birdy,Keeping Your Head Up,208395,244
183,All I Want,Kodaline,In A Perfect World (Deluxe),305746,358
184,Baudelaire,Angus & Julia Stone,Snow,254160,297
185,Multi-Love,Unknown Mortal Orchestra,Multi-Love,250800,293
186,Young,Vallis Alps,Vallis Alps,324122,379
187,East,Vallis Alps,East,275341,322
188,Feel the Way I Do,The Jungle Giants,Feel the Way I Do,202606,237
189,In Cold Blood,alt-J,RELAXER,206853,242
190,Girl (feat. KAYTRANADA),"The Internet, KAYTRANADA",Ego Death,415613,486
191,Mystik,Tash Sultana,Mystik,249296,292
192,Blossom,Milky Chance,Blossom,254586,298
193,Snow,Angus & Julia Stone,Snow,252160,295
194,Yellow Mellow,Ocean Alley,Yellow Mellow EP,225655,264
195,Not Above Love,AlunaGeorge,I Remember,190346,223
196,Mean What I Mean,"AlunaGeorge, Leikeli47, Dreezy",I Remember,231000,270
197,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),264306,309
198,She Moves In Her Own Way,The Kooks,Inside In / Inside Out,169306,198
199,Houdini,Foster The People,Torches,202466,237
200,Be Kind to Yourself,Willow Beats,Be Kind to Yourself,233166,273
201,Mr Polite,The Jungle Giants,The Jungle Giants,255399,299
202,Mechanical Bull,Stella Donnelly,Thrush Metal,161248,189
203,Special,Willow Beats,Special,194843,228
204,Changa,PNAU,Changa,205022,240
205,Boys Will Be Boys,Stella Donnelly,Thrush Metal,242495,284
206,Same Same,Winston Surfshirt,Sponge Cake,192189,225
207,Walk With Me (feat. KUCKA),"Cosmo's Midnight, KUČKA",Walk With Me (feat. KUCKA),253448,297
208,History,Cosmo's Midnight,History,208066,243
209,Nothing In The World,PNAU,Changa,192758,226
210,White Tiger - Single Version,Izzy Bizu,White Tiger,180066,211
211,NUMB,"Hayden James, GRAACE",NUMB,217296,254
212,Uninvited,Mallrat,Uninvited,236785,277
213,Sky Walker (feat. Travis Scott),"Miguel, Travis Scott",Sky Walker (feat. Travis Scott),260077,304
214,gold,EDEN,gold,196701,230
215,Rock It,Little Red,Midnight Remember,210160,246
216,Turn,The Wombats,Turn,207679,243
217,Oceans,Vallis Alps,Oceans,199948,234
218,Warm on a Cold Night (feat. Aminé),"HONNE, Aminé",Warm On A Cold Night (feat. Aminé),258724,303
219,Just Dance,HONNE,Just Dance,212421,249
220,Follow The Sun,Xavier Rudd,Spirit Bird,256266,300
221,Regular Touch,Vera Blue,Perennial,208146,244
222,Like You Want To,Kita Alexander,Like You Want To,235995,276
223,Persevere,Gang of Youths,Go Farther In Lightness,272813,319
224,Magnolia,Gang of Youths,The Positions,311906,365
225,What Can I Do If the Fire Goes Out?,Gang of Youths,Go Farther In Lightness,295506,346
226,About This Thing,"Young Franco, Scrufizzer",About This Thing,197458,231
227,I Belong Here,"Set Mo, Woodes",I Belong Here,233114,273
228,Blood Brothers,Amy Shark,Night Thinker - EP,225865,264
229,Weekends,Amy Shark,Weekends,190640,223
230,Drive You Mad,Amy Shark,Night Thinker - EP,212182,248
231,Go Bang,PNAU,Changa,189092,221
232,Save Disco,"PNAU, Nicholas Littlemore’s The Two Leaves Project",Changa,234929,275
233,Ease Bruisily,Winston Surfshirt,Sponge Cake,185058,217
234,Killing Me Softly With His Song,Fugees,The Score,298773,350
235,Marinade,DOPE LEMON,Honey Bones,237961,278
236,Uptown Folks,DOPE LEMON,Honey Bones,288013,337
237,Just A Boy,Angus & Julia Stone,A Book Like This,239378,280
238,Young Blood,Noah Kahan,Young Blood,208853,244
239,Skinny Love,Bon Iver,"For Emma, Forever Ago",238520,279
240,Keep Your Head Up,Ben Howard,Every Kingdom (Deluxe Edition),264546,310
241,Low Blows,Meg Mac,Low Blows,212786,249
242,Scott Green,Dune Rats,The Kids Will Know It's Bullshit,130579,153
243,Believe (triple j Like A Version) - Cover Version,DMA'S,Believe (triple j Like A Version) [Cover Version],197594,231
244,Electric Feel - triple j Like A Version,Tash Sultana,Electric Feel (triple j Like A Version),514893,602
245,bellyache,Billie Eilish,Bellyache,179172,210
246,The Comedown,Ocean Alley,The Comedown,285692,334
247,"Hey, Did I Do You Wrong?",San Cisco,"Hey, Did I Do You Wrong?",184333,216
248,Bodies,Wafia,Bodies,192999,226
249,Come On Mess Me Up,Cub Sport,This Is Our Vice,203641,238
250,Frankie Sinatra,The Avalanches,Wildflower,224013,262
251,"The Deepest Sighs, the Frankest Shadows",Gang of Youths,Go Farther In Lightness,351613,411
252,On Your Way Down,The Jungle Giants,On Your Way Down,225000,263
253,Lisztomania,Phoenix,Wolfgang Amadeus Phoenix,241546,283
254,Loving Is Easy,"Rex Orange County, Benny Sings",Loving Is Easy,155720,182
255,SWEET,BROCKHAMPTON,SATURATION II,274274,321
256,Love Galore (feat. Travis Scott),"SZA, Travis Scott",Ctrl,275080,322
257,Hot Shit,Towkio,Hot Shit,219173,256
258,Wish You Well,Bernard Fanning,Tea & Sympathy,151133,177
259,My Happiness,Powderfinger,Odyssey Number Five,276706,324
260,Party in Me,Yung Bae,Bae2,218880,256
261,A Heartbreak,Angus & Julia Stone,Angus & Julia Stone (Deluxe),256148,300
262,Doing It for the Money,Foster The People,Sacred Hearts Club,226026,264
263,Pork Soda,Glass Animals,How To Be A Human Being,253831,297
264,Bus Money,The Chats,Get This In Ya,150899,177
265,Take You For A Ride,The Delta Riggs,Active Galactic,230533,270
266,MICHUUL.,Duckwrth,an XTRA UUGLY Mixtape,186200,218
267,Solid Gold (feat. Julia Stone),"Elk Road, Julia Stone",Solid Gold (feat. Julia Stone),165500,194
268,JUNKY,BROCKHAMPTON,SATURATION II,248780,291
269,Walrus,D.D Dumbo,Utopia Defeated,190986,223
270,Boys,Charli XCX,Boys,162585,190
271,Used to Be in Love,The Jungle Giants,Quiet Ferocity,222786,261
272,"I Love You, Will You Marry Me",YUNGBLUD,"I Love You, Will You Marry Me",177600,208
273,We're Going Home,Vance Joy,We're Going Home,206120,241
274,I Believe in Love,Yellow Days,I Believe in Love,239600,280
275,Cellar Door,Angus & Julia Stone,Snow,281266,329
276,ocean eyes,Billie Eilish,dont smile at me,200379,234
277,Cola,"CamelPhat, Elderbrook",Cola,223869,262
278,All The Stars (with SZA),"Kendrick Lamar, SZA",All The Stars (with SZA),235540,276
279,6 Pack,Dune Rats,The Kids Will Know It's Bullshit,176158,206
280,Red Light Green Light,Dune Rats,Red Light Green Light,114306,134
281,Don't Talk,Dune Rats,The Kids Will Know It's Bullshit,163264,191
282,Tear It Down - Remix,"The Aston Shuffle, SAFIA",Tear It Down (Remix),278746,326
283,Special Affair,The Internet,Ego Death,176186,206
284,Chasin',Cub Sport,BATS,191160,224
285,Good Guys Go,Cub Sport,Good Guys Go,215242,252
286,Million Man,The Rubens,Million Man,192106,225
287,Chateau,Angus & Julia Stone,Snow,273533,320
288,Something Good Can Work,Two Door Cinema Club,Tourist History,162906,191
289,King and Cross,Ásgeir,In the Silence,212679,249
290,Let's Hug Longer,Heaps Good Friends,Let's Hug Longer,186666,218
291,Miss You,Young Franco,Miss You,186424,218
292,Comb That River,The Ahern Brothers,The Ahern Brothers,246827,289
293,Confidence,Ocean Alley,Confidence,253076,296
294,Agnes,Glass Animals,How To Be A Human Being,271672,318
295,&burn (with Vince Staples),"Billie Eilish, Vince Staples",&burn (with Vince Staples),179015,209
296,Something Good Can Work - RAC Remix,Two Door Cinema Club,Something Good Can Work (Remixes),223190,261
297,Worry,"Jack Garratt, Anderson .Paak",Worry (Remixes),240814,282
298,Get To Know (feat. Winston Surfshirt),"Cosmo's Midnight, Winston Surfshirt",Get To Know (feat. Winston Surfshirt),241651,283
299,Freakin' Out,SAFIA,Freakin' Out,230011,269
300,idontwannabeyouanymore,Billie Eilish,dont smile at me,203569,238
301,Pizza Guy,Touch Sensitive,Pizza Guy (The Remixes),349413,409
302,Bonnie & Clyde,Vance Joy,Nation of Two,195573,229
303,Baby Blue (feat. Chance the Rapper),"Action Bronson, Chance the Rapper",Mr. Wonderful,280160,328
304,Chamber Of Reflection,Mac DeMarco,Salad Days,231720,271
305,Call If You Need Me,Vance Joy,Nation of Two,163720,192
306,Dark Skin Women - Cosmo's Midnight & Swindail Remix,"GoldLink, Cosmo's Midnight, Swindail","And After That, We Didn't Talk - The Remixes",178867,209
307,Salad Days,Mac DeMarco,Salad Days,145893,171
308,On the Level,Mac DeMarco,This Old Dog,227653,266
309,Let My Baby Stay,Mac DeMarco,Salad Days Demos,177875,208
310,Mistakes,"Basenji, Tkay Maidza",Mistakes,226012,264
311,Dreaming of America,Ball Park Music,GOOD MOOD,284082,332
312,Saturday Sun,Vance Joy,Nation of Two,214746,251
313,Heart Attack (feat. Rush Midnight),"Polographia, Rush Midnight",Heart Attack (feat. Rush Midnight),219845,257
314,"Wicked Game - Recorded Live at St Canice Cathedral, Kilkenny",James Vincent McMorrow,"Wicked Game (Recorded Live at St Canice Cathedral, Kilkenny)",271405,318
315,You Said,Folded Like Fabric,I Tried,191413,224
316,My Life,"ZHU, Tame Impala",My Life,294351,344
317,Moon River,Frank Ocean,Moon River,188323,220
318,Depreston,Courtney Barnett,Depreston,292853,343
319,Get You (feat. Kali Uchis),"Daniel Caesar, Kali Uchis",Freudian,278179,325
320,Rage,Ocean Alley,Chiaroscuro,253847,297
321,Sunflower,Rex Orange County,Sunflower,252230,295
322,Hide and Seek,Imogen Heap,Speak for Yourself,268979,315
323,Say My Name - Hermitude Remix,"ODESZA, Zyra",Say My Name Remixes,216362,253
324,Inhale,"Duke Dumont, Ebenezer",Inhale,190730,223
325,Pumped Up,Klingande,Pumped Up,177073,207
326,Sink In,Amy Shark,"Love, Simon (Original Motion Picture Soundtrack)",275453,322
327,Cruzin',"Snakehips, St Rulez",Cruzin',218062,255
328,Calling,"Ukiyo, Your Girl Pho",Calling,178168,208
329,Wasted Times,The Weeknd,"My Dear Melancholy,",220293,258
330,Calypso Beach,Northeast Party House,Dare,233169,273
331,Your House,Northeast Party House,Dare,203720,238
332,Any Given Weekend,Northeast Party House,Any Given Weekend,241323,282
333,Déjà Vu (feat. Chaz French),"Snakehips, Knox Brown, Chaz French",STAY HOME TAPES (= --__-- =),206164,241
334,Stay High - Habits Remix,"Tove Lo, Hippie Sabotage",Queen Of The Clouds,258386,302
335,If You’re Going to Break Yourself,Unknown Mortal Orchestra,Sex & Food,277591,325
336,'Til It's Over,Anderson .Paak,'Til It's Over,202080,236
337,Gorgeous,mansionz,Mansionz,148493,174
338,PCH,Jaden,CTV2,351202,411
339,Kick On,Sticky Fingers,Kick On,192928,226
340,Boyfriend (Repeat),Confidence Man,Confident Music for Confident People,249933,292
341,Catch My Breath,Confidence Man,Confident Music for Confident People,238480,279
342,UFO,"Mallrat, Allday",UFO,187078,219
343,Be Like You (feat. Broods),"Whethan, Broods",Be Like You (feat. Broods),161431,189
344,if i tremble,Jack Grace,IF I TREMBLE,236074,276
345,Best Friend,Rex Orange County,Best Friend,262231,307
346,The Future (feat. Antony & Cleopatra),"Motez, Antony & Cleopatra",The Future (feat. Antony & Cleopatra),226023,264
347,K,Cigarettes After Sex,Cigarettes After Sex,319560,374
348,List Of People (To Try And Forget About),Tame Impala,Currents B-Sides & Remixes,279986,328
349,Video Games - Remastered,Lana Del Rey,Born To Die - The Paradise Edition,281960,330
350,Fuck Things Up,DOPE LEMON,Honey Bones,271167,317
351,Winter,Khalid,American Teen,241866,283
352,RUN,San Cisco,Gracetown,194549,228
353,About You,San Cisco,Gracetown,207620,243
354,lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),200185,234
355,Let Me Down Easy,Gang of Youths,Go Farther In Lightness,319346,374
356,Just Friends,"Hayden James, Boy Matthews",Just Friends,238991,280
357,Polarised,Cosmo's Midnight,Polarised,188611,221
358,Good Nights (feat. Mascolo),"Whethan, Mascolo",Good Nights (feat. Mascolo),165618,194
359,The Perfect Life Does Not Exist,Ball Park Music,GOOD MOOD,201670,236
360,Need You,"Flight Facilities, NÏKA",Need You,200525,235
361,Survival in the City,Client Liaison,Survival in the City,213917,250
362,Yellow,"Aminé, Nelly",Good For You,180000,211
363,Two Bodies,"Flight Facilities, Emma Louise",Down to Earth,368354,431
364,Don't You Know I'm in a Band,Confidence Man,Don't You Know I'm in a Band,203866,239
365,Test & Recognise - Flume Edit,"Seekae, Flume",Test & Recognise (Remixes),303660,355
366,Ultimatum - Edit,"Disclosure, Fatoumata Diawara",Ultimatum,213381,250
367,Sly (feat. Winston Surfshirt),"Polographia, Winston Surfshirt",Sly (feat. Winston Surfshirt),211200,247
368,Lowkey (feat. Buddy & Jay Prince),"Cosmo's Midnight, Buddy, Jay Prince",Lowkey (feat. Buddy & Jay Prince),217963,255
369,Purity (feat. Frank Ocean),"A$AP Rocky, Frank Ocean",TESTING,262360,307
370,Young Melody,"PNAU, Vera Blue",Young Melody,221760,259
371,All Your Love,"Flight Facilities, Dustin Tebbutt",All Your Love,285004,333
372,Enough,"Flume, Pusha T",Skin Companion EP II,191144,224
373,You've Got a Friend in Me,"Rex Orange County, Randy Newman",You've Got a Friend in Me,139521,163
374,Corduroy Dreams,Rex Orange County,Bcos U Will Never B Free,206974,242
375,Uno,Rex Orange County,Dear White People (A Netflix Original Series Soundtrack),169453,198
376,Lonely Lullabies,Kweku Collins,"Say It Here, While It's Safe",205984,241
377,Come Back To You,Crooked Colours,Vera,188393,220
378,Stand Still,"Flight Facilities, Micky Green",Down to Earth,259383,303
379,Jupiter,Haiku Hands,Jupiter,224868,263
380,Second Nature,Stalking Gia,Second Nature,246609,289
381,Crosses,José González,Veneer,161840,189
382,"New Person, Same Old Mistakes",Tame Impala,Currents,363238,425
383,Freaking Out The Neighborhood,Mac DeMarco,2,173866,203
384,Empty,Kevin Abstract,American Boyfriend: A Suburban Love Story,194336,227
385,Baby Come Back,Ocean Alley,Baby Come Back (triple j Like A Version),289065,338
386,Out the Window,Confidence Man,Out the Window,265280,310
387,Try Your Luck,Confidence Man,Confident Music for Confident People,214373,251
388,Pinned Upon,POLOSHIRT,Pinned Upon,179421,210
389,Tessellating,"MUTO, Oliver Dibley",Tessellating,228739,268
390,Fascination,Confidence Man,Confident Music for Confident People,293280,343
391,Talk to Me (feat. Tove Styrke),"Cosmo's Midnight, Tove Styrke",What Comes Next,233334,273
392,Where U Been (feat. Boogie),"Cosmo's Midnight, Boogie",What Comes Next,188108,220
393,Fool's Gold,Jack River,Fool's Gold,257134,301
394,As Crazy As It Is,"ZHU, A-Trak, Keznamdi",Genesis Series,224346,262
395,Memo,Years & Years,Communion,204840,240
396,Stranded,"Flight Facilities, Broods, Reggie Watts, Saro",Stranded,350306,410
397,Sunshine,"Flight Facilities, Reggie Watts",Down to Earth,265009,310
398,Love/Paranoia,Tame Impala,Currents,185772,217
399,Missing Me,Angie McMahon,Missing Me,199880,234
400,Home Soon,DOPE LEMON,Home Soon,177655,208
401,Neon Lights,DOPE LEMON,Hounds Tooth,285778,334
402,Salvation,Tash Sultana,Salvation,259401,303
403,All the Way,Confidence Man,Confident Music for Confident People,223000,261
404,Torrent,Ásgeir,In The Silence (Deluxe Version),216279,253
405,Mystery of Love,Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack),248964,291
406,Wild Life,Client Liaison,Diplomatic Immunity,276992,324
407,Forever Always,"Peter CottonTale, Rex Orange County, Chance the Rapper, Daniel Caesar, Madison Ryann Ward, Yebba",Forever Always,215160,252
408,Don’t Matter To Me,"Drake, Michael Jackson",Scorpion,245786,288
